DATE,LNU00024230
1948-01-01,23311
1948-02-01,23356
1948-03-01,23407
1948-04-01,23437
1948-05-01,23492
1948-06-01,23543
1948-07-01,23650
1948-08-01,23703
1948-09-01,23761
1948-10-01,23821
1948-11-01,23876
1948-12-01,23927
1949-01-01,23972
1949-02-01,24016
1949-03-01,24072
1949-04-01,24117
1949-05-01,24171
1949-06-01,24220
1949-07-01,24240
1949-08-01,24297
1949-09-01,24350
1949-10-01,24418
1949-11-01,24465
1949-12-01,24527
1950-01-01,24568
1950-02-01,24615
1950-03-01,24668
1950-04-01,24719
1950-05-01,24756
1950-06-01,24804
1950-07-01,24860
1950-08-01,24891
1950-09-01,24947
1950-10-01,25012
1950-11-01,25060
1950-12-01,25111
1951-01-01,25154
1951-02-01,25195
1951-03-01,25248
1951-04-01,25281
1951-05-01,25329
1951-06-01,25375
1951-07-01,25430
1951-08-01,25486
1951-09-01,25544
1951-10-01,25600
1951-11-01,25654
1951-12-01,25708
1952-01-01,25746
1952-02-01,25790
1952-03-01,25840
1952-04-01,25876
1952-05-01,25926
1952-06-01,25978
1952-07-01,26034
1952-08-01,26088
1952-09-01,26146
1952-10-01,26206
1952-11-01,26260
1952-12-01,26311
1953-01-01,26643
1953-02-01,26691
1953-03-01,26730
1953-04-01,26760
1953-05-01,26812
1953-06-01,26866
1953-07-01,26916
1953-08-01,26972
1953-09-01,27033
1953-10-01,27093
1953-11-01,27142
1953-12-01,27197
1954-01-01,27247
1954-02-01,27291
1954-03-01,27336
1954-04-01,27356
1954-05-01,27401
1954-06-01,27421
1954-07-01,27441
1954-08-01,27497
1954-09-01,27549
1954-10-01,27610
1954-11-01,27671
1954-12-01,27722
1955-01-01,27767
1955-02-01,27807
1955-03-01,27860
1955-04-01,27899
1955-05-01,27955
1955-06-01,28008
1955-07-01,28063
1955-08-01,28115
1955-09-01,28169
1955-10-01,28224
1955-11-01,28274
1955-12-01,28329
1956-01-01,28366
1956-02-01,28405
1956-03-01,28458
1956-04-01,28483
1956-05-01,28554
1956-06-01,28594
1956-07-01,28583
1956-08-01,28623
1956-09-01,28682
1956-10-01,28739
1956-11-01,28790
1956-12-01,28834
1957-01-01,28870
1957-02-01,28913
1957-03-01,28954
1957-04-01,28998
1957-05-01,29034
1957-06-01,29093
1957-07-01,29109
1957-08-01,29160
1957-09-01,29208
1957-10-01,29263
1957-11-01,29307
1957-12-01,29341
1958-01-01,29366
1958-02-01,29395
1958-03-01,29438
1958-04-01,29461
1958-05-01,29499
1958-06-01,29540
1958-07-01,29579
1958-08-01,29629
1958-09-01,29688
1958-10-01,29747
1958-11-01,29796
1958-12-01,29844
1959-01-01,29884
1959-02-01,29920
1959-03-01,29958
1959-04-01,29997
1959-05-01,30043
1959-06-01,30083
1959-07-01,30131
1959-08-01,30185
1959-09-01,30239
1959-10-01,30288
1959-11-01,30337
1959-12-01,30389
1960-01-01,30509
1960-02-01,30546
1960-03-01,30596
1960-04-01,30612
1960-05-01,30648
1960-06-01,30697
1960-07-01,30750
1960-08-01,30801
1960-09-01,30858
1960-10-01,30916
1960-11-01,30983
1960-12-01,31042
1961-01-01,31088
1961-02-01,31124
1961-03-01,31161
1961-04-01,31220
1961-05-01,31278
1961-06-01,31324
1961-07-01,31382
1961-08-01,31441
1961-09-01,31494
1961-10-01,31555
1961-11-01,31609
1961-12-01,31658
1962-01-01,31703
1962-02-01,31739
1962-03-01,31787
1962-04-01,32463
1962-05-01,32500
1962-06-01,32543
1962-07-01,32605
1962-08-01,32652
1962-09-01,32709
1962-10-01,32764
1962-11-01,32812
1962-12-01,32867
1963-01-01,32898
1963-02-01,32930
1963-03-01,32977
1963-04-01,33000
1963-05-01,33028
1963-06-01,33071
1963-07-01,33094
1963-08-01,33121
1963-09-01,33146
1963-10-01,33205
1963-11-01,33253
1963-12-01,33301
1964-01-01,33342
1964-02-01,33376
1964-03-01,33414
1964-04-01,33451
1964-05-01,33511
1964-06-01,33560
1964-07-01,33610
1964-08-01,33663
1964-09-01,33718
1964-10-01,33776
1964-11-01,33828
1964-12-01,33878
1965-01-01,33917
1965-02-01,33958
1965-03-01,34008
1965-04-01,34041
1965-05-01,34084
1965-06-01,34132
1965-07-01,34162
1965-08-01,34210
1965-09-01,34274
1965-10-01,34332
1965-11-01,34383
1965-12-01,34434
1966-01-01,34473
1966-02-01,34512
1966-03-01,34559
1966-04-01,34595
1966-05-01,34650
1966-06-01,34690
1966-07-01,34732
1966-08-01,34785
1966-09-01,34835
1966-10-01,34898
1966-11-01,34955
1966-12-01,35005
1967-01-01,35059
1967-02-01,35095
1967-03-01,35151
1967-04-01,35199
1967-05-01,35246
1967-06-01,35299
1967-07-01,35356
1967-08-01,35414
1967-09-01,35482
1967-10-01,35548
1967-11-01,35596
1967-12-01,35651
1968-01-01,35692
1968-02-01,35733
1968-03-01,35766
1968-04-01,35795
1968-05-01,35852
1968-06-01,35910
1968-07-01,35977
1968-08-01,36037
1968-09-01,36093
1968-10-01,36139
1968-11-01,36198
1968-12-01,36256
1969-01-01,36299
1969-02-01,36307
