DATE,LNU00000060
1948-01-01,59188
1948-02-01,59230
1948-03-01,59277
1948-04-01,59330
1948-05-01,59368
1948-06-01,59400
1948-07-01,59579
1948-08-01,59585
1948-09-01,59622
1948-10-01,59676
1948-11-01,59724
1948-12-01,59788
1949-01-01,59853
1949-02-01,59902
1949-03-01,59975
1949-04-01,60049
1949-05-01,60121
1949-06-01,60163
1949-07-01,60280
1949-08-01,60345
1949-09-01,60414
1949-10-01,60485
1949-11-01,60545
1949-12-01,60596
1950-01-01,60659
1950-02-01,60730
1950-03-01,60799
1950-04-01,60862
1950-05-01,60911
1950-06-01,60969
1950-07-01,61032
1950-08-01,61106
1950-09-01,61122
1950-10-01,61050
1950-11-01,61018
1950-12-01,60992
1951-01-01,60999
1951-02-01,60919
1951-03-01,61006
1951-04-01,60994
1951-05-01,61074
1951-06-01,61129
1951-07-01,61154
1951-08-01,61188
1951-09-01,61226
1951-10-01,61394
1951-11-01,61436
1951-12-01,61528
1952-01-01,61574
1952-02-01,61602
1952-03-01,61634
1952-04-01,61720
1952-05-01,61796
1952-06-01,61864
1952-07-01,61930
1952-08-01,61990
1952-09-01,62046
1952-10-01,62152
1952-11-01,62212
1952-12-01,62267
1953-01-01,62865
1953-02-01,62923
1953-03-01,62984
1953-04-01,63038
1953-05-01,63084
1953-06-01,63162
1953-07-01,63204
1953-08-01,63250
1953-09-01,63322
1953-10-01,63375
1953-11-01,63428
1953-12-01,63481
1954-01-01,63543
1954-02-01,63593
1954-03-01,63615
1954-04-01,63640
1954-05-01,63687
1954-06-01,63730
1954-07-01,63772
1954-08-01,63802
1954-09-01,63834
1954-10-01,63880
1954-11-01,63919
1954-12-01,63949
1955-01-01,64011
1955-02-01,64005
1955-03-01,64096
1955-04-01,64144
1955-05-01,64208
1955-06-01,64257
1955-07-01,64291
1955-08-01,64314
1955-09-01,64336
1955-10-01,64376
1955-11-01,64412
1955-12-01,64463
1956-01-01,64496
1956-02-01,64508
1956-03-01,64522
1956-04-01,64527
1956-05-01,64568
1956-06-01,64605
1956-07-01,64706
1956-08-01,64729
1956-09-01,64765
1956-10-01,64790
1956-11-01,64810
1956-12-01,64828
1957-01-01,64857
1957-02-01,64879
1957-03-01,64908
1957-04-01,64934
1957-05-01,64972
1957-06-01,65025
1957-07-01,65113
1957-08-01,65134
1957-09-01,65165
1957-10-01,65205
1957-11-01,65251
1957-12-01,65290
1958-01-01,65325
1958-02-01,65350
1958-03-01,65373
1958-04-01,65392
1958-05-01,65422
1958-06-01,65451
1958-07-01,65460
1958-08-01,65449
1958-09-01,65426
1958-10-01,65454
1958-11-01,65476
1958-12-01,65497
1959-01-01,65525
1959-02-01,65544
1959-03-01,65566
1959-04-01,65587
1959-05-01,65614
1959-06-01,65638
1959-07-01,65660
1959-08-01,65681
1959-09-01,65650
1959-10-01,65639
1959-11-01,65621
1959-12-01,65642
1960-01-01,65931
1960-02-01,65952
1960-03-01,65975
1960-04-01,65974
1960-05-01,65989
1960-06-01,66017
1960-07-01,66034
1960-08-01,66069
1960-09-01,66073
1960-10-01,66091
1960-11-01,66146
1960-12-01,66194
1961-01-01,66237
1961-02-01,66243
1961-03-01,66253
1961-04-01,66274
1961-05-01,66301
1961-06-01,66328
1961-07-01,66348
1961-08-01,66362
1961-09-01,66373
1961-10-01,66380
1961-11-01,66324
1961-12-01,66316
1962-01-01,66277
1962-02-01,66272
1962-03-01,66290
1962-04-01,66023
1962-05-01,66043
1962-06-01,66069
1962-07-01,66167
1962-08-01,66204
1962-09-01,66282
1962-10-01,66318
1962-11-01,66334
1962-12-01,66349
1963-01-01,66390
1963-02-01,66405
1963-03-01,66422
1963-04-01,66437
1963-05-01,66440
1963-06-01,66461
1963-07-01,66509
1963-08-01,66551
1963-09-01,66547
1963-10-01,66572
1963-11-01,66596
1963-12-01,66613
1964-01-01,66653
1964-02-01,66666
1964-03-01,66679
1964-04-01,66702
1964-05-01,66724
1964-06-01,66749
1964-07-01,66774
1964-08-01,66789
1964-09-01,66814
1964-10-01,66838
1964-11-01,66862
1964-12-01,66885
1965-01-01,66911
1965-02-01,66929
1965-03-01,66951
1965-04-01,66977
1965-05-01,66996
1965-06-01,67021
1965-07-01,66934
1965-08-01,66975
1965-09-01,67005
1965-10-01,67013
1965-11-01,67019
1965-12-01,67024
1966-01-01,67022
1966-02-01,67029
1966-03-01,67002
1966-04-01,67037
1966-05-01,67096
1966-06-01,67098
1966-07-01,67105
1966-08-01,67129
1966-09-01,67144
1966-10-01,67162
1966-11-01,67179
1966-12-01,67212
1967-01-01,67275
1967-02-01,67318
1967-03-01,67348
1967-04-01,67357
1967-05-01,67398
1967-06-01,67475
1967-07-01,67579
1967-08-01,67788
1967-09-01,67908
1967-10-01,67973
1967-11-01,68036
1967-12-01,68102
1968-01-01,68170
1968-02-01,68232
1968-03-01,68293
1968-04-01,68356
1968-05-01,68418
1968-06-01,68473
1968-07-01,68522
1968-08-01,68557
1968-09-01,68607
1968-10-01,68651
1968-11-01,68734
1968-12-01,68793
1969-01-01,68857
1969-02-01,68900
1969-03-01,68942
1969-04-01,68988
1969-05-01,69054
1969-06-01,69106
1969-07-01,69208
1969-08-01,69258
1969-09-01,69302
1969-10-01,69362
1969-11-01,69424
1969-12-01,69541
1970-01-01,69604
1970-02-01,69672
1970-03-01,69743
1970-04-01,69821
